,Код болезни,Обязательные назначения,Необязательные назначения
10, I15.1,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
11, I15.2,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
12, I15.8,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
13, I15.9,"['Клинический анализ крови', 'Клинический анализ мочи', 'Биохимический анализ крови', 'Креатинин с расчетом СКФ', 'Калий', 'Натрий', 'Микроальбумин в моче', 'ЭКГ', 'СМАД', 'УЗИ почек', 'УЗИ брахиоцефальных артерий', 'ЭХО-КГ с расчетом индекса массы миокарда левого желудочка']","['Пероральный тест толерантности к глюкозе', ' УЗИ почек', ' УЗИ надпочечников', ' УЗИ почечных артерий', ' УЗИ подвздошно_x0002_бедренных сосудов']"
14,I20.8,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'ТГ', 'Креатинин с расчетом СКФ', 'ЭХО КГ', 'Нагрузочные тесты']","['ТГ', ' Нагрузочные тесты', ' ']"
15, I25.0,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'ТГ', 'Креатинин с расчетом СКФ', 'ЭХО КГ', 'Нагрузочные тесты']","['ТГ', ' Нагрузочные тесты', ' ']"
16, I25.1,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'ТГ', 'Креатинин с расчетом СКФ', 'ЭХО КГ', 'Нагрузочные тесты']","['ТГ', ' Нагрузочные тесты', ' ']"
17, I25.2,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'ТГ', 'Креатинин с расчетом СКФ', 'ЭХО КГ', 'Нагрузочные тесты']","['ТГ', ' Нагрузочные тесты', ' ']"
18, I25.5,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'ТГ', 'Креатинин с расчетом СКФ', 'ЭХО КГ', 'Нагрузочные тесты']","['ТГ', ' Нагрузочные тесты', ' ']"
19, I25.8,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'ТГ', 'Креатинин с расчетом СКФ', 'ЭХО КГ', 'Нагрузочные тесты']","['ТГ', ' Нагрузочные тесты', ' ']"
20, I25.9,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'ТГ', 'Креатинин с расчетом СКФ', 'ЭХО КГ', 'Нагрузочные тесты']","['ТГ', ' Нагрузочные тесты', ' ']"
21,I49.1,"['Биохимический анализ крови', 'ЭКГ']","['Клинический анализ крови', ' Холтер мониторирование ЭКГ', ' Калий крови', ' ТТГ']"
22, I49.3,"['Биохимический анализ крови', 'ЭКГ']","['Клинический анализ крови', ' Холтер мониторирование ЭКГ', ' Калий крови', ' ТТГ']"
23, I49.4,"['Биохимический анализ крови', 'ЭКГ']","['Клинический анализ крови', ' Холтер мониторирование ЭКГ', ' Калий крови', ' ТТГ']"
24, I49.1,"['ЭКГ', 'ЭХО КГ', 'Калий крови']",['Холтер мониторирование ЭКГ']
25, I49.3,"['ЭКГ', 'ЭХО КГ', 'Калий крови']",['Холтер мониторирование ЭКГ']
26, I49.4 ,"['ЭКГ', 'ЭХО КГ', 'Калий крови']",['Холтер мониторирование ЭКГ']
27,I48.0,"['Биохимический анализ крови', 'ЭКГ', 'ЭХО КГ', 'Креатинин', 'Калий']",['Холтер-мониторирование ЭКГ']
28, I48.1,"['Биохимический анализ крови', 'ЭКГ', 'ЭХО КГ', 'Креатинин', 'Калий']",['Холтер-мониторирование ЭКГ']
29, I48.2,"['Биохимический анализ крови', 'ЭКГ', 'ЭХО КГ', 'Креатинин', 'Калий']",['Холтер-мониторирование ЭКГ']
30, I48.3,"['Биохимический анализ крови', 'ЭКГ', 'ЭХО КГ', 'Креатинин', 'Калий']",['Холтер-мониторирование ЭКГ']
31, I48.4,"['Биохимический анализ крови', 'ЭКГ', 'ЭХО КГ', 'Креатинин', 'Калий']",['Холтер-мониторирование ЭКГ']
32, I48.9,"['Биохимический анализ крови', 'ЭКГ', 'ЭХО КГ', 'Креатинин', 'Калий']",['Холтер-мониторирование ЭКГ']
33, I49.9,"['Биохимический анализ крови', 'ЭКГ', 'ЭХО КГ', 'Креатинин', 'Калий']",['Холтер-мониторирование ЭКГ']
34,I50.0,"['Клинический анализ крови', 'ЭКГ', 'ЭХО КГ']","['Клинический анализ мочи', ' Биохимическое исследование крови', ' Рентгенография органов грудной клетки', ' УЗИ органов брюшной полости', ' УЗИ брюшной полости на наличие свободной жидкости ']"
35, I50.9,"['Клинический анализ крови', 'ЭКГ', 'ЭХО КГ']","['Клинический анализ мочи', ' Биохимическое исследование крови', ' Рентгенография органов грудной клетки', ' УЗИ органов брюшной полости', ' УЗИ брюшной полости на наличие свободной жидкости ']"
36,I67.2,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'УЗИ брахиоцефальных артерий']","['МНО', ' Креатинин с расчетом СКФ', ' Холтеровское мониторирование ЭКГ', ' Продленное Холтеровское мониторирование ЭКГ']"
37, I67.4,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'УЗИ брахиоцефальных артерий']","['МНО', ' Креатинин с расчетом СКФ', ' Холтеровское мониторирование ЭКГ', ' Продленное Холтеровское мониторирование ЭКГ']"
38, I67.8,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'УЗИ брахиоцефальных артерий']","['МНО', ' Креатинин с расчетом СКФ', ' Холтеровское мониторирование ЭКГ', ' Продленное Холтеровское мониторирование ЭКГ']"
39, I67.9,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'УЗИ брахиоцефальных артерий']","['МНО', ' Креатинин с расчетом СКФ', ' Холтеровское мониторирование ЭКГ', ' Продленное Холтеровское мониторирование ЭКГ']"
40, I69.8,"['Клинический анализ крови', 'Биохимический анализ крови', 'ЭКГ', 'УЗИ брахиоцефальных артерий']","['МНО', ' Креатинин с расчетом СКФ', ' Холтеровское мониторирование ЭКГ', ' Продленное Холтеровское мониторирование ЭКГ']"
41, J01.0,['Рентгенография околоносовых пазух'],['Клинический анализ крови']
42, J01.1,['Рентгенография околоносовых пазух'],['Клинический анализ крови']
43, J01.2,['Рентгенография околоносовых пазух'],['Клинический анализ крови']
44, J01.3,['Рентгенография околоносовых пазух'],['Клинический анализ крови']
45, J01.4,['Рентгенография околоносовых пазух'],['Клинический анализ крови']
46, J01.8,['Рентгенография околоносовых пазух'],['Клинический анализ крови']
47, J01.9,['Рентгенография околоносовых пазух'],['Клинический анализ крови']
48,J03.0,"['Клинический анализ крови', 'Клинический анализ мочи', 'Мазок из ротоглотки и носа на BL', 'ЭКГ', 'Бактериологическое исследование слизи с миндалин и задней стенки глотки на аэробные и факультативно_x0002_аэробные микроорганизмы', 'Определение чувствительности микроорганизмов к антибиотикам и другим лекарственным препаратам']",['-']
49, J03.8,"['Клинический анализ крови', 'Клинический анализ мочи', 'Мазок из ротоглотки и носа на BL', 'ЭКГ', 'Бактериологическое исследование слизи с миндалин и задней стенки глотки на аэробные и факультативно_x0002_аэробные микроорганизмы', 'Определение чувствительности микроорганизмов к антибиотикам и другим лекарственным препаратам']",['-']
50, J03.9,"['Клинический анализ крови', 'Клинический анализ мочи', 'Мазок из ротоглотки и носа на BL', 'ЭКГ', 'Бактериологическое исследование слизи с миндалин и задней стенки глотки на аэробные и факультативно_x0002_аэробные микроорганизмы', 'Определение чувствительности микроорганизмов к антибиотикам и другим лекарственным препаратам']",['-']
51,H65.0,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
52, H65.1,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
53, H65.2,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
54, H65.3,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
55, H65.4,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
56, H65.9,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
57, H66.0,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
58, H66.1,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
59, H66.2,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
60, H66.3,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
61, H66.4,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
62, H66.9,"['Отоскопия', 'Оценка остроты слуха']","['Клинический анализ крови', ' Тональная аудиометрия', ' Оценка нистагма']"
63,I67.4,"['УЗДС брахиоцефальных артерий', 'Биохимический анализ крови']",['-']
